ff8083f4e6f7e2dd36cbe9a3a68d74f9,f,t,t.1,t.2,f.1,t.3,f.2,f.3,60.0,2.0,3.0
ff372e14109b7fe7e8f567a18ec6c6a7,f,f,t,t,t,t,t,f,87.0,0.0,8.0
fedfe308bb6c9005562e04c48c85541e,f,t,t,t,f,t,f,f,56.0,4.0,16.0
fea4c8eeb8ebf225db1338db9a420351,f,f,t,f,f,t,t,f,33.0,0.0,3.0
fe8fc7c394b34435758e8a2fba87fa30,f,f,t,t,f,f,t,f,,0.0,1.0
fe7fd35e2c3454616fa9a3e95b1da0f3,f,f,t,t,f,f,t,f,0.0,0.0,2.0
fe098c9ea6cb26635fcc26ed91fb2e50,f,f,f,f,f,f,f,f,,0.0,2.0
fddd75892996686575b42465dac2b680,t,t,t,t,t,t,t,f,66.0,2.0,4.0
fcc6ca095dd0cd38742428c4252d1a0a,f,f,f,f,f,f,f,f,,0.0,1.0
fbca23d76285addef19146e157c6c203,f,t,t,t,f,t,f,f,25.0,1.0,4.0
fbc42d33d72afa91fb0fd64142324f4f,f,f,t,t,t,t,t,f,100.0,0.0,3.0
fb7b5429e9dbbb864ed60aab05d3b3e0,f,t,f,t,t,t,t,f,66.0,4.0,5.0
fb6bbc8b25a760ecaab39923785e6ec6,f,t,t,t,t,f,f,f,100.0,9.0,2.0
fb02e74d3eb62a21a4edb936bd119e38,f,f,t,t,f,f,t,f,,0.0,1.0
fae7a5193f45887c7b9269a8d2a5e711,f,,f,,f,,,,,,
fab60fc03007e8272052228fb3dc141e,f,,f,,f,,,,,,
fa27dc44a68d366a428f477edd8f2294,f,f,t,t,t,t,t,f,75.0,0.0,8.0
f9f9f7ae1bba8bf624863e2ebd527a9f,f,f,f,f,f,f,f,f,,0.0,1.0
f98a841b7d2e595b7dfb7ee6f57e7eac,t,t,t,t,t,t,t,f,66.0,2.0,28.0
f944657e40ff646b5d458ebaaa5e1da2,f,f,t,t,t,t,t,f,66.0,0.0,3.0
f927c4ea2dc6de961681ee90abb95731,f,f,t,t,f,t,f,f,25.0,0.0,4.0
f8cf6349278b1fe983049c1babe80d04,t,t,t,t,t,t,t,t,83.0,2.0,4.0
f8bbc110f1e57a973ed32700d204997e,f,f,f,f,f,f,f,f,0.0,0.0,1.0
f866e58228f4b22b1003bd66bf41a93e,f,f,t,t,f,t,t,f,50.0,0.0,5.0
f85ae22dfde417dcd5798f42201c14cd,f,f,t,t,t,t,t,f,81.0,0.0,12.0
f8259dc54f55951d4fe6bd032534051d,f,f,t,t,f,t,t,f,50.0,0.0,7.0
f7c0b81ecb79d401471adfcb2d2f3b64,f,,f,,f,,,,,,
f7bd609e90f9ce6682ae3003c444c13c,f,f,f,f,f,f,f,f,,0.0,1.0
f7ab06474aa05d2509e3722b1541be4c,f,f,t,t,f,t,t,f,,0.0,3.0
f7a5dffae947e76f8ff1e8f7b706fa1c,t,t,t,t,t,f,t,f,100.0,1.0,2.0
f7743636b291ffdc70b052adbab74ad0,f,f,t,f,f,f,t,f,0.0,0.0,2.0
f746d3a8d9b8237cc8f77f563de0cdbd,f,f,f,f,t,f,f,f,100.0,0.0,1.0
f7282cb4c6ef1b9eb1e37ee39cdac854,f,f,t,f,f,f,t,f,0.0,0.0,1.0
f6d53f2ec3f2332f0c492d6f9538289a,t,t,t,t,t,t,t,f,92.0,1.0,14.0
f65df9764e6ab2fa721a11c4cfbad866,f,f,t,f,f,t,t,f,,0.0,4.0
f64fcbb99101a810e8725c58f6b0bf68,f,f,t,t,f,t,t,f,,0.0,6.0
f5685d389ae4bfe42a52f406653bb631,f,t,t,t,f,f,f,f,50.0,2.0,2.0
f52f33fa289c7571b1decc5c8081bffa,t,t,t,t,t,t,f,f,80.0,1.0,4.0
f4d3b76313ad02cb112393dab002f5a3,t,t,t,t,t,t,t,f,100.0,1.0,7.0
f46e6ebc4d1e3f51d91c549ae4ea4e19,f,,f,,f,,,,,,
f4682ae256151d5e99c23ceca314c8be,f,f,t,f,f,f,t,f,,0.0,1.0
f436fcfdfac62122eafba0b1e465bfec,f,f,t,f,f,f,t,f,0.0,0.0,2.0
f42a4f42bb0218441d44687b929de8b8,t,t,t,t,t,t,t,f,83.0,2.0,8.0
f3ef9de237476cc9e3eb3aa7e13dc958,f,t,t,f,f,t,t,f,0.0,2.0,5.0
f3da1c0b14c7aacdd7b12ffc5f94c511,t,t,t,t,t,f,t,f,100.0,1.0,2.0
f3d69f1e8d883c251fc040b3615186d0,f,f,t,t,f,t,t,f,25.0,0.0,4.0
f3c7a12d0a19d9e0df3ec76639291714,f,f,f,f,f,f,f,f,,0.0,2.0
f35bbba5c48cd4151acc48ba9a7c1100,f,,f,,f,,,,,,
f31c5b08b7317ef42bfd2312288b5b27,f,f,f,f,f,f,f,f,,0.0,1.0
f2d20831f5086a7915d86e814ebb6a71,f,f,f,f,t,f,f,f,100.0,0.0,1.0
f20a47f32089f673579b449b4e06362a,f,f,t,f,f,t,t,f,33.0,0.0,3.0
f20a0474f10959584e509ef259bc3423,f,f,t,t,f,t,t,f,50.0,0.0,3.0
f1d9718ae72c26f63372b73a45707e56,f,f,t,f,f,f,t,f,0.0,0.0,1.0
f1ad5ad0c69942ffcb982e2950c07c3c,f,f,t,f,f,f,t,f,0.0,0.0,1.0
f189033183154d43b71f9ae90fd6608d,f,f,t,t,t,t,t,f,66.0,0.0,5.0
f11c01cf0fc8d14bd17d127016c5ec95,f,,f,,f,,,,,,
f1034a42b72aa321230cb2d08224429b,f,f,t,t,t,f,t,f,100.0,0.0,1.0
f0f405992a6fddac586df12838427851,f,f,t,t,f,t,t,f,33.0,0.0,5.0
f0d8c5f4344a8936cae8980c31afe1b0,f,f,t,t,f,t,t,f,40.0,0.0,5.0
f0cfb2c22261554b38074630af5c8c21,f,f,t,t,t,t,t,f,66.0,0.0,3.0
f0c131f7cfd9e228ab47f387fa7481f2,f,f,t,f,f,f,t,f,0.0,0.0,1.0
f0bbfc627dec93d978c4ab6d23f6f726,f,f,t,f,f,f,t,f,0.0,0.0,1.0
f0a80353d8e46319118c4ddf02dd916a,f,f,t,t,f,t,t,f,33.0,0.0,4.0
f092895828e59694daec13ee05218585,f,f,t,t,f,t,t,f,33.0,0.0,5.0
f05957aacf6497213774334f745f094e,f,,f,,f,,,,,,
f0129175cca589086a703d04e42bccc4,f,,f,,f,,,,,,
efef80c65e6fb05eda22e702741f9132,f,f,t,f,f,f,t,f,0.0,0.0,2.0
efc079c4803d4932c98a9df63a4d70be,f,f,f,f,t,t,f,f,100.0,0.0,3.0
ef7abe4a304b8ee621e27a5caef5b701,f,f,t,f,f,f,t,f,0.0,0.0,2.0
ef79742d0a0d14fca9db4e5c469ded16,f,f,t,t,t,t,f,f,100.0,0.0,3.0
ef5f2e30df06db4643d91cbc3d95018a,f,f,t,f,f,f,t,t,,0.0,1.0
ef359394473136801037db0ee0683554,f,t,t,t,f,f,t,f,0.0,3.0,1.0
eeb8dfadc09f68f20d5c093d27e61278,f,f,t,t,f,f,t,f,50.0,0.0,2.0
ee96deba2671ad374060f95c967760d5,f,,f,,f,,,,,,
ee89d1740eea3a04c3e1a547a8fd9878,f,f,t,t,f,f,t,f,,0.0,1.0
ee7b3414b0400f115161ac8bf5234527,f,f,t,f,f,f,t,f,,0.0,1.0
ee107b851535f7b65ca45d102cbc6264,f,f,f,t,f,t,t,f,33.0,0.0,4.0
ede7ac9a781c69ec04a3ac2906f25c06,f,f,t,t,f,f,t,f,0.0,0.0,2.0
ede1835086132d94068f56a843378d99,f,f,t,t,t,t,t,f,66.0,0.0,3.0
ed7c3190d7e72112fe7753daee3d373b,f,t,t,t,t,f,f,f,100.0,2.0,1.0
ed05516a22a20448e030638b4c5ad538,f,f,t,t,t,t,t,f,66.0,0.0,6.0
ecbc357bf7402de3bac7c0dddc2b1463,f,f,t,f,f,f,f,f,0.0,0.0,2.0
ec896086c5ba4328be2e955ab689b730,f,f,t,t,t,f,t,f,100.0,0.0,1.0
ec5a4d095953836a9d82c942dc5866a2,f,,f,,f,,,,,,
ec4f7952aa6e4e4f77e3428fd943702a,t,t,t,t,t,f,t,f,85.0,3.0,2.0
ebcb0ff38e23d34b3271f8c8f18077d8,f,f,t,f,f,f,t,f,0.0,0.0,1.0
ea93ac61678ed1b4c401c0b9a497ed9e,f,t,t,t,f,f,t,f,33.0,2.0,1.0
ea6cad8e0f16755687adc79b2a2abf4a,f,f,t,t,f,f,t,f,50.0,0.0,2.0
ea54b062c6ef4d6b80bc9f3b01e76f12,f,f,t,t,f,t,t,f,,0.0,3.0
ea532ca84f36ee2a281b8f57a826b7cc,f,t,f,f,t,f,f,f,100.0,1.0,2.0
ea2525bac0cff3d1e3d6ccaefa5534a6,f,f,t,t,f,f,t,f,,0.0,2.0
ea1941f1d9be79409cb869be9584b073,f,,f,,f,,,,,,
e9473f45ec708bd2fb6a1a490dd65cb9,f,f,t,t,f,t,t,f,50.0,0.0,3.0
e89749cc6d9d38531d5f1f3889847bcc,t,t,t,t,t,t,t,f,84.0,3.0,11.0
e852c212cfc5a25504edfb8fe01d004d,f,f,t,f,t,t,t,f,100.0,0.0,4.0
e808196efbea957fdfb5e0446702a8f3,f,f,t,t,f,f,t,f,,0.0,2.0
e7c60f918b5a3d214cff3aa5e6c9869b,f,t,t,t,t,f,f,f,100.0,3.0,1.0
e7af8436079cd771ee876b9ccee799eb,f,f,t,f,f,f,f,f,,0.0,1.0
e7a0ecc87a9c8428c154a0a213c9e3b4,f,t,t,t,f,t,f,f,37.0,6.0,3.0
e753978909df5483c294ebf17d8a780b,f,f,t,t,f,t,t,f,50.0,0.0,3.0
e6e6063559a4747d022fedd900ee9b02,f,t,f,t,t,f,f,f,100.0,2.0,1.0
e6dd98d6673b29d89cfa670b7443ddd9,f,f,t,f,f,t,t,f,42.0,0.0,20.0
e6b8884c34e0bb3110400739ecb9436a,f,f,t,t,f,f,t,f,50.0,0.0,2.0
